ENCSENTS	DECSENTS
were they in good heart as they entered enemy territory ?	they spurred onto high ground , My Lord , full of spirit and looking for the Zulu . full of sport they were , My Lord .
tell what you see . write it well , Sir , and make sure you get it right	"if I've got it right , My Lord , you lead an invasion into Zululand , for I see it all around me , but "" why ? "" is the question my readers will ask . "" why ? """
do not confuse yourse { fi Why ? we must strike a heavy blow . this cannot be a war of manoeuvre .	so attack is your defence . well let's hope Cetshwayo will offer his Impis full destruction .
what o'clock is it , Mr Noggs ?	eleven o'clock , My LorJ 42
"will you hear "" Last Post "" , Sir ?"	"I listened extra careful to your "" Stand To "" this mornin' , Boy. Ft was peifecL I couldn't' ve done it better meseif , not even when I was Bugler to The Duke Of Wellington .. .now tell me , where did you get that black eye ?"
from the Cook , Sir They saw me dip your shaving tin in the tea-water this morning , made their tea taste of Lifebuoy toilet soap , they saij handing him the bottle of gin he purloined earlier . 2t	so , you got it in the line of dooty .. ... point taken .
will we be fighting the Zulus soo ~ , Quartermaster ? .	could be . across the river into Zululand . . they might just be waiting there for us to show up ... .them stabbing assegais pointing right at our bellies ! ....
you afeared of the Zulus then , Quartermaster ?	one Zulu is only one man .. .. and I'm afeared of no one man ... but the Zulu , they come in the thousands .... like a black wave of death .... in the thousands .... and them assegais .... stabbing !
why don' t the Zulus attack ?	Zulu may not wear shoes or trousers and the like but it don' t mean to say they got no brains . they'll watch us and wait and find our weaknesses .
yes , sir , name , please ?	food !
food ! !	I'm sorry , sir . we only seat by reservation .
drink !	oh , no sir-ee . if yo don't have a reservation you can skip to ma-loo .
Foooooood !	now just one moment . there's no need for roughhousing . have you ever tried a tip ?
GRRRHMMNNNJKJMMMNN !	Franz ! help ! lunatic !
no , not sound .	there must have been someone else down here then .
his what ? ?	his schwanzstucker .
Whew ! a nineteen-inch drill .	it's working ! oh , Doctor -- you play beautifully .
I'm getting tired .	why don't we all turn in ? it's been a long day .
you can't expect to iron out all the kinks in one night .	I think the doctor is a genius ! don't you , Igor ?
the doctor said to allow seven minutes : no more and no less -- or else they could both become hopelessly paralyzed .	how long is it so far ?
four	three minutes to go !
yes .	what d'ya want to do to kill time ?
Igor -- are you sure the monster has a good brain ? are you absolutely certain that you took the brain of Hans Delbruck that night ?	absolutely ! may my mother grow two heads if I'm not telling the truth .
oh , must be around ten ... ten-thirty .	Igor -- the clock ! hurry !
another fifteen seconds to go .	do Something ! stall them !
extremely well .	how nice .
did you have a pleasant trip ?	yes , thank you . it wasn't bad .
did you ever have a roll in the hay ?	I'm not sure I ... get your drift .
sometimes I'm afraid of the lightning .	just an atmospheric discharge . nothing to be afraid of .
are you busy ?	that's quite all right . what is it , dear ?
could I lie down in your bed for a little while ? I just can't sleep .	we only arrived a few minutes ago .
well ...	oh please -- just till I get sleepy . then you can force me right back to my room .
no , thanks ! I want to get right to sleep .	well ... I'll just finish unpacking .
Inga !	yes , you may ... but don't make any noise .
what is it ? is something wrong , Doctor ?	listen ! don't you hear that strange music ?
yes ! what could it be at this hour ?	I don't know . it just woke me up .
Dr. Fronkonsteen -- look !	whatever it is , it's coming from down there . I'm going down to see .
let me come with you , Doctor , please ! I don't want to stay up here alone .	all right then , quietly ! close your robe and stay right behind me . don't make a sound !
Ooh !	what a filthy mess .
look , Doctor !	well , this explains the music .
&apos; as the minuteness of the parts formed a great hindrance to my speed , I resolved to make the creature of a gigantic stature .' of course ! that would simplify everything .	and look at this , Doctor !
soon , all the electrical secrets of Heaven shall be mine .	oh , Frederick ... you're not only a great doctor , you're a great ... you're almost a ...
a god ?	yes !
right here ?	raise the platform , hurry !
reputation . reputation !	I thought it was wonderful .
I don't understand -- I followed the notes to the letter .	it wasn't me .
it looks that way .	what do you think we should do ?
what are you going to do ?	I think I'll ... carry him .
do you think you can sing it ?	me ? sing ?
yes -- quickly , dear !	I'd be so nervous .
it has a pas-sion ,' The Con-ti nen-tal ...'	stop -- singing ! ! !
all right -- give it to him !	are you serious ? ?
give him the sedative !	oh ! yes , Doctor .
did you do it ?	I think so .
good night , Doctor .	good night !
why , doctor ... how wonderful for you .	wonderful ? it's terrible ! terrible , terrible , terrible , terrible , terrible !
what's wrong , Doctor ? you seem ... lonely .	oh , a little . but it's not just physical loneliness . it's the pangs that come from missing someone intellectually ... as I have you .
I've missed you intellectually , too , Doctor .	it's terrible -- the price society demands in the name of fidelity ... ultimately ?
not fooling around .	I know , but I mean -- not fooling around physically ? ... Or not fooling around intellectually ?
I see what you mean .	there can never ... ever ... be anything physical between us . you know that , dear .
I know Frederick .	it wouldn't be fair to Elizabeth .
what ?	I say , it wouldn't be fair to you ... or to me .
nor to Elizabeth .	no . nor to Elizabeth .
and Elizabeth has hers .	yes , Elizabeth has hers .
but , after all , you have yours .	yes , I have mine .
and I have mine .	yes ... yes , you have yours .
why don't we talk inside ?	well ... ... perhaps for a few minutes .
yes , I know .	it wouldn't be fair to her .
yes , I know .	you've got to help me to remain faithful .
yes , I will .	... But an intellectual relationship , like this -- we could have as often as we wanted . three times a day -- anything !
all right if I turn out the lamp , sweetheart ?	mmmmm .
MMMMmmmmm !	yes , sweetie ... I heard you . so ! I'm ready for you , meine Liebe .
are you ready for me ?	MMMMmmmmm !
ready for Fuchsmachen ? ? ?	MMMMMMmmmmmmmmm !
what's that tune that you're playing	Zis is an old Transylvanian lullaby .
it's an honor for me , sir . you play the violin ?	oh , just a little .
nice ! nice little balance to it .	ja , ja .
MMMMMMMMMMMMMNNNNNNmmmmmmmm ? ! ?	it's alive !
hello there .	MMMMMmmmmmmm .
how's everything ?	MMMmmmmmmmm .
I'm going to untie you -- can you understand that ?	MMMmmmm ! MMMmmmm !
it's alive . it's -- moving ! it's -- breathing ! it's -- standing ! what is your name ?	... It's .
get the sedative ready !	mmmmm ! mmmmm !
diff'rent types who wear a day coat , pants with stripes and cutaway coat , perfect fits .........................	poo -- tmmm anngh ma Ritz !
dressed up like a million dollar trouper Trying hard to look like Gary Cooper .	soo -- pah doo -- per .
MMMMMMMMMMMMMMMMMMMMmmmmm .	... Su-per du-per . come let's mix where Rock- e-fellers walk with sticks or' um-ber- el-las' in their mitts .........................
MMMMMMMMMMMMMMMMMMmmmmmmmmmmm !	for God's sake -- go on ! are you trying to make me look like a fool . sing , you amateur ! sing ! !
MMMMMMMMMM ! MMMMMMMMMMMM !	wait ! stop ! don't give them the satisfaction . I know it's tough , but look at how far we've come ! are you going to throw it all away now ? ?
MMMmmmmmm .	don't you think I know that ? but what are you judging by ? Bucharest ? ? ? this was always a hick town . they can't get a' bus and Truck' company to come in here . are you going to let these idiots get the best of you ? ... Or are you going to stand up like a man and show them that you've got more dignity in your little finger than they've got in all their beer- bloated bodies put together ?
Frederick Frankenstein ?	Fron kon steen !
are you putting me on ?	no , it's pronounced Fron kon steen .
and do you also say Fro dereck ?	no , Fred ereck .
why isn't it Frodereck Fronkon steen ?	it's not . it's Fredereck Fronkonsteen .
I see .	you must be Igor .
no , it's pronounced Aye gor .	but they told me it was Ee gor .
well , they were wrong then , weren't they ?	you were sent by Herr Falkstein , weren't you ?
yes , that's right . my grandfather and your grandfather used to pal around together . you and I should have a lot of laughs .	I'm sure we will .
this is Inga . they thought you might need an assistant temporarily .	how do you do ?
are these your bags ?	yes , just the two .
incidentally -- I don't mean to embarrass you in any way , but I'm a rather brilliant surgeon . perhaps I can help you with that hump .	what hump ?
there .	I beg your pardon ?
why are you talking like that ?	I thought you wanted to .
no .	suit yourself ... I'm easy . better watch out for the wockers .
what wockers ?	the wockers with the knockers .
Wockers with the knockers ? ? ?	go ahead , play dumb ! you'll lose your sockers and then be fockers .
down ! get down , you beasts !	I wonder what's got into them ?
Aye-gor !	Fro-derick !
what are you doing here ?	I got frightened all alone upstairs , so I came down here .
but what you were doing ?	just putting up some tea .
did you hear that strange music ?	what ?
did you hear that strange music ? ?	what ?
it seems that way . you didn't hear any music at all ?	what ?
you didn't hear ... nothing ! aren't there any lights in this place ?	two switches over there , but I wasn't going to be the first .
did you see anyone else down here ?	no , but when I first came in , there was a light coming from behind that steel door .
what is this place ?	must be the music room .
it is ! this was my grandfather's private library . look at this !	&apos; how I Did It .' good title !
taking the book along ?	yes , I think we could all use a good laugh .
what a filthy job !	could be worse !
how ?	could be raining !
I have a pretty good idea .	do you have the name I wrote down ?
yes . Dr. H. Delbruck .	I want that brain .
was he any good ?	was he any good ? ? ? he was the finest natural philosopher , internal medicine diagnostician and chemical therapist of this century .
hmm !	and he wrote seventeen cookbooks .
that's not bad .	can you imagine that brain in this body ?
I'm getting excited just thinking about it . what if he's not there ?	he only died two weeks ago -- I'm sure they'll still have him . hurry now . I'll prepare the body .
oh ! may I call you' Master' ?	why ?
it's always been one of my favorite names .	if you like -- just hurry !
yes ! it's all written down in the notes . tie off the kites and come down !	yes , master . just don't turn on any radios .
you'd better hurry -- I think it's going to rain .	all right ... elevate me !
the ancient masters promised impossibilities and performed nothing . we shall penetrate into the recesses of nature . we shall ascend into the Heavens . we shall command the thunders of Heaven , mimic the earthquake and even mock the invisible world with its own shadows .	tonight ?
yes ! when I give the word -- throw the first switch !	you've got it , master .
throw the second switch !	this guy means business .
it's not enough . more ! more , do you hear me ?	what ?
what ?	throw the third switch !
you can't win' em all .	but there must be a reason . this is science , not art .
cold ! cold and dead !	you mustn't take it so hard . Bucharest wasn't built in a day .
don't try to cheer me up that way .	well , I don't like to see you mope .
you'll be getting me sad next .	I'm sorry . I don't mean to take out my frustration on you . you've been a great help to me , and I've let you down .
I'm not that sort you know . I appreciate you feelings , but try to show them some other way .	you're right ! self-pity never got anyone anywhere . let's go back and finish our dinner .
oh , do you like it ? I'm not partial to desserts , but this is excellent .	who are you talking to ?
to you ! you just made a' yummy' sound , so I thought you liked the dessert .	I didn't make a' yummy' sound -- I just asked what it was .
but you did -- I just heard it .	it wasn't me .
better not get too close , master . this guy could kill you .	I suppose you're right . Inga ! prepare a sedative , just in case .
it's trying to talk. it wants us to take off the straps .	don't fall for that one .
original .	give -- me -- your -- hand !
Whew ! I'm glad that's over with .	you can say that again .
yes .	you're just supposed to repeat what you said .
what's the point of my setup ? it's not funny unless you repeat exactly what you said .	I'm not trying to be funny .
repeat it anyway -- it's a wonderful cue .	... I'm glad that's ...
no , no ! that whole thing !	... Whew ! I'm glad that's over with .
it seem to have stopped the big fellow in his tracks .	Ayegor ! find out where that music is coming from as quietly and as blindingly fast as you can .
yes , Master !	act casual !
how's it going ?	what did you find out ?
someone was playing this in the music room .	where is he ?
all right -- where is she ?	how do you know it was a' she' ?
bring -- me -- the -- violin !	can you play it ?
thanks ... for all your help .	that's what we're paid for .
I'm a failure .	come on , Froderick -- none of that .
what monster ?	"what d'ya mean "" What monster ?' you remember ... the one we madein the basement ."
you don't understand , Master . the big fellow's broken in and kidnapped your fiancee .	what ? ? ?
that sound good , boss .	... and equalize the imbalance in his cerebrospinal fluid ...
I like your style , master . how do we get him here ?	there's only one way .
is everything ready ?	yes , master . are you sure you want to go through with it ?
it's the only way .	okay , boss ! but I hope you know what you're doing .
that's' Fronkonsteen .'	I beg your pardon ?
my name is pronounced Fron kon steen .	oh ! I thought it was Dr. Frankenstein .
but aren't you the grandson of the famous Dr. Victor Frankenstein ? ... who performed such fascinating experiments in electricity and galvanism ?	that's true ! but my grandfather , Victor was , after all , what we might politely refer to as ... a cuckoo !
I prefer , by far , to be remembered for my own small contributions to science . now if we can proceed to your questions .	well sir ... I'm not sure I understand the distinction between' Reflexive' and' voluntary' nerve impulses .
Dr. Fronkonsteen !	yes ?
isn't it true that Darwin preserved a piece of vermicelli in a glass case until , by some extraordinary means , it actually began to move with voluntary motion ?	a piece of what ?
Vermicelli .	are you speaking of the worm , or ... the spaghetti .
but wasn't that the whole basis of your grandfathers work , sir ... ? the re-animation of component parts ?	my father was a sick man .
but aren't you the least bit curious about it , Doctor ? doesn't the secret of life hold any intrigue for you ?	you are talking about the gibberish ravings of a lunatic mind .
yes , but , sir ... if it could be accomplished , wouldn't that eliminate disease from the human frame and render man invulnerable to any but a violent death ?	how old are you , young man ?
nineteen , sir .	nineteen ! my dear young man ... once the human organism has ceased to function , nature has deemed that creature to be dead .
but look at what's been done with hearts and kidneys !	hearts and kidneys are Tinker Toys ! I'm talking about the Central Nervous System .
but , sir ...	I am a scientist ... ! not a philosopher .
you have more chance of re-animating this knife than you have of mending a broken nervous system ,	but your grandfather's work , sir ...
Dr. Frankenstein ?	Fron kon steen !
oh , at least , sir . the land alone is worth a small fortune .	but I can't just drop everything and leave . I have responsibilities and obligations .
do you have a hundred thousand of them , sir ?	how long will this whole thing take ?
a week . ten days at most .	I'll have to think it over . it's not so easy just to pick up and ...
well ... if you're sure that I could accomplish everything in a week ... I suppose I could manage it .	why did you do that ?
break that old man's violin .	I didn't do that .
all right then , I suppose I owe the family that much . you'll have everything ready for me when I arrive ?	yes , sir .
one week at the most ! ?	one week -- I'll see to it , sir .
well , thank you very much for all your trouble .	not at all -- a great privilege , Doctor .
Saturday night then ! I'll take the train to New York and fly from there .	Saturday night , yes , sir . have a pleasant journey !
I hope you find this comfortable . this was Baron Victor's room .	it seems fine .
you'll fine the keys to all the rooms in my cas ... all the rooms in your castle on this ring . I'll leave it on the table here .	does that include the key to the laboratory ?
you mean ... the laboratory ? ?	yes ! ... the laboratory .
there seem to be quite a few books .	yes , this was Victor's ... the Baron's medical library .
I see . and where is my grandfather's private library ?	I don't know what you mean , sir .
well , there was a public and a private library -- he said so in his will. these books are all very general -- any doctor might have them in his study .	this is the only library I know of .
surely he kept his notes -- his private papers and records in some other place ?	I think you must be mistaken , sir .
well ... we'll see .	will there be anything else ?
I don't think so . is my assistant taken care of ?	I put her in the guest room , just down the hall .
this wire came while you were gone . your fiancee will be arriving any moment .	Elizabeth ! ? !' can't waits any longer . arrive in your arms at ten tonight .' oh , God ! not tonight .
darling ! ... you will be careful ! ?	of course .
you have your tickets ?	yes .
and your passport ?	yes , don't worry .
call me from New York before you leave ? ?	yes .
promise ? ?	I promise .
oh , darling -- I'll count the hours that you're away .	oh , darling -- so will I.
will you miss me ?	very .... very !
mother's going to help me with the invitations .	oh , nice .
I hope you like large weddings .	whatever makes you happy .
I've trimmed the list to only our very closest friends ... but it still comes to three thousand .	you're incorrigible !
does that mean you love me ?	you bet your boots it does .
I will ! goodbye , darling !	goodbye , darling .
goodbye , darling .	goodbye , darling !
darling !	darling !
surprised ?	surprised !
love me ?	love you ! ... Well , why don't we turn in ?
darling ! ? !	I mean , it's been a long day . I'm sure you must be as tired as I am . oh ! these are my assistants : Inga and Ayegor .
ready , darling ?	yes . I am a bit tired , after all .
what a strange fellow .	yes , he's a little bit ... tilted . harmless , though .
why does he call you' master' ?	are you suggesting I call him master ? ? ?
no , of course not . I just meant ...	all right then !
poor Delbruck ! there must be some way to reach him -- to control that body .	darling , you mustn't worry so .
but there's a genius inside that body -- crying out for love and understanding and normal human relationships . I just have to find some way to re-establish his communications system .	but you can't do that at night . and even if you could -- it would cost a fortune . come to bed , darling .
oh , Delbruck , Delbruck . was will dien tachlas von Dir ?	you've done everything that's humanly possible , Frederick . oh , darling , I'm so worried about you -- you need rest .
I suppose you're right .	of course I am . now come along like a good boy .
is your room just down the hall ? ... in case I get frightened during the night ?	yes , but ... I thought , perhaps tonight , under the circumstances , I might ... stay here with you .
I don't want to spoil anything -- I just want to top it all off .	would you want me , now , like this , so soon before our wedding ? ... So near we can almost touch it ? or wait a little while longer , when I can give myself without hesitation ? ... When I can be totally and unashamedly yours ? ?
that's a tough choice .	is it worth taking a chance ?
I suppose you're right .	of course I am . now give me a kiss and say good night like my good boy .
good night .	that's my good boy .
darling !	hello ... ?
surprised ?	well ... yes .
Miss me ?	I ...
what in God's name are you doing ?	Baack !
what ?	Baack !
you're incorrigible ! ... Aren't you ?	MMMmmmm .
mmmmm !	is it that music ?
did you see ? ... I put a special hamper in the bathroom just for your shirts. the other one is just for socks and poo-poo undies .	mmmmm .
still happy you married me ?	mmmmm .
love me oodles and oodles ?	mmmmm .
so this is what it's like to be completely happy !	mmmmm .
Herr Falkstein ! did you inform Frederick Frankenstein of this assembly and all the particulars of the time and place ?	I did , sir .
but I received a cable only this morning , saying that he could not come .	was he aware of the importance of this occasion ?
yes , sir , he was . but he said he was obligated to lecture at Johns Hopkins University .	what lecture could be more important than the will of Baron Beaufort Frankenstein ?
&apos; functional areas of the cerebrum in relation to the skull .'	Herr Falkstein ! you have your instructions !
yes , sir .	I have taken an oath that each letter of this Testament shall be executed ... and by God , it shall be done !
where did you get this cauliflower ?	from your office , sir .
didn't you prepare it with the celery before my lecture ?	yes , sir . but I must have taken the wrong one when we came up .
are you trying to make me look like an idiot ?	no , sir . it will never happen again .
give him an extra dollar .	yes , sir .
yes , sir .	he has a big mouth . yes ! it seems to me I did read something about that incident as a student . but you have to remember that a worm -- with very few exceptions -- is not a human being .
Carlson !	yes , sir ?
bring me some surgical gauze , a little tape and some disinfectant .	yes , sir . do you want the other cauliflower ?
... No !	Frederick Frankenstein ?
you have the wrong house .	and who might you be ?
Dr. Frederick Fronkonsteen .	the grandson of Victor' Fronkonsteen' ?
no !	what was your grandfather's name ?
Victor Frankenstein .	forgive me for intruding so late at night , Herr Baron . but an ugly rumor has it that there are strange goings on in this castle . these good citizens are ready to rip you from limb to limb unless you can offer some rational explanation for their fears . how say you ?
ugly , vicious rumous .	they say , also , that you have recreated the horrible monster who , for so many years , has haunted and terrorized the God-fearing people of this village . what say you to that ?
I think we all need a good night's sleep . why don't we meet next week and thrash this thing out ?	now wait a minute !
yes , my dear , he is .	and has he achieved ... any special degree of eminence ?
he is the fifth leading authority in his field .	oh , shit .
I'll never understand your regard for them , Charles .	and I'll never understand terrorists .
I am trying to save our kind , Charles . you should do the same .	not at the cost of lives , Max .
is that so ?	still trying to make the world safe for our kind . still trying to find a way to introduce ourselves -- definitively .
you definition of definitive was always a bit extreme for me , Max . what is it like these days ?	let's just say that I am out to make some radical changes . now come on Charles . for old times sake , for your sake ... Leave him to me .
if I could make you understand . if you could just be made to see it the way I do . the way it's going to be .	the way what is going to be ?
I'm going to change the world with or without you as a witness , Charles . and this one gets a front row seat .	what do you mean to do ?
this checkmate goes to you . I didn't want to hurt anyone . but you leave me no choice .	what DO YOU MEAN TO DO ?
I wouldn't really have let you die , you know . I just needed ...	I know .
doesn't it ever wake you in the middle of the night ? the feeling that some day , some day very soon , they will pass that foolish law - or one just like it - and they will come for you and your children ? take you all away ?	it does indeed , Max .
and what do you do when you wake up to that ?	I feel a great swell of pity for the poor soul who comes to that school again looking for trouble .
I lost him .	how ?
is that what you're looking for ?	a piece . only a piece .
is it enough ?	enough for a test .
I'll find him .	alive .
why is everybody up at sunrise ?	the sun is setting , Logan . you've been asleep for nineteen hours .
what did she do to me ?	she borrowed your power to save her life . when she touches someone , she absorbs their strengths -- their gifts . in your case -- your ability to heal . that's why she keeps her body covered .
I felt like she almost killed me .	if she held on any longer she could have .
what am I doing here ?	I brought you here so that you would be safe from magneto .
who ?	a very powerful mutant who for some reason has taken an interest in you . I'm not sure why , but until we find out , I must ask you to stay .
forty-eight hours , old man . but if you cross me , I won't feel any guilt about what I do to you .	deal .
the point of what ?	"this . this whole God damn thing . making yourselves into some sort of "" team "" of super-powered freaks . teaching wayward mutants about classical literature . for what ?"
the point is to step into a more evolved position of social responsibility . to recognize that there is a world out there and that we mutants are as much a part of it as normal human beings .	what if it never happens ? what if they're so afraid of us that we become the enemy ? -- This place is gonna be one giant cemetery .
now that's magneto talking .	no . that's me talking . and you know what ? it's only been thirty-two hours and you still have no idea what this guy wants with me .
where are we going ?	to find Rogue .
how ?	the brainwaves of mutants are quite different than those of the average human being .
you designed this yourself ?	actually , magneto helped me put it together .
he helped you ?	we were friends once ... But that was a long time ago .
they're all asking how you're doing . are you feeling up to saying hello to everyone ?	actually I'm feeling up to leaving .
why ? you have a home here now , if you want it . everyone will ...	what ? ... miss me ? Charley , I'm gonna walk out the front door and trust me , it won't be soon enough for everyone here .
I do love a good check mate .	what do you want ?
come with me and I'll let her live .	you think I care about her ? I'm the only one who's sure to walk out of here .
where am I ?	you're backstage at the encore of creation .
you ... wha ... Who are you ... Where is Henry ?	Mr. Guyrich has been dead for some time Senator .
the intention of registration act -	intention ? intention , Senator ? we are talking about mankind here . his fear . it is only a matter of time before mutants will be herded into camps . studied for weaknesses . and eventually wiped off the face of the Earth .
what is it you intend to do to me ?	let's just say , God works too slowly .
you're avoiding the question I posed to you at the beginning of the hearing , Ms. Grey . three words : are mutants dangerous ?	I am avoiding a question that is decidedly loaded , Senator . the wrong person behind the wheel of a car can be dangerous .
Ms. Grey -- you work at a school for mutants in Westchester , New York . can you tell the members of this committee what exactly you are teaching these mutants ?	math . history . science . English . Athletics --
you wouldn't happen to be teaching them how to use their powers to --	control , Senator ... we teach them control .
this was taken by a state police officer in Secaucus , New Jersey . a man in a minor altercation literally melted the car in front of him . I don't know where you come from , Ms. Grey , but where I come from , you don't go melting people's cars when they cut you off . you do it the old fashioned way -- you give' em the finger . but what you presume to tell this committee -	I presume nothing , I am here to tell you that in time , the mutator gene will activate in every living human being on this planet . perhaps even your children , Senator .
I'm sorry to come here , Ms. Grey . I was afraid if I went to a hospital , they would ...	treat you like a mutant ? we are not what you think . not all of us .
tell it to the ones that did this to me .	the mutant gene tells the body when it needs to change .
some cigars . case of beer .	there's no smoking or drinking on the school grounds .
I won't light the cigars - how about that ?	I'll see what I can do -- You should get some sleep . even with your healing ability , you're going to be hurting for a while .
what if I like the pain ?	the Professor said you were a solider . actually , I believe he used the word mercenary .
yeah ? well I don't like to talk about my past .	maybe , the Professor could help you with that .
by reading my thoughts ?	if necessary .
you should always work with a spotter .	he's busy right now .
were you now ?	what do you say ?
he takes his work seriously .	he takes himself seriously .
Logan , do you see this ring ?	I've seen a lot of rings .
inspiring -- Now what am I doing here ?	I wanted to talk to you .
how long have you been in Alaska ?	I don't remember . is that what you wanted to ask me ?
I've served with men like you before . methodical . Systematic -- naive . you know what happens to those men in a real fight ?	you know , you --
I'm o.k. I'm o.k.	sure you are , sport .
Scott .. I -	I don't like him being here .
what are you talking about ?	you saw what happened tonight . you think magneto won't come after him again . you think he won't come here if necessary . this is a school , for God's sake .
what's wrong with him ?	his vital signs are weak and getting weaker .
he's already losing control of his vitals . respiratory . cardiovascular . unless we manage to replace the filter by tomorrow morning , I'm afraid .	we have to find magneto .
are you all right ?	no . I'm ... I don't know if we can do this without Charles .
hey . I'm sorry . about Logan . I was jealous .	well , I think that's perfectly understandable .
I'll tell you one thing though .	what's that ?
radar Stealth mode checks out . all right , there'll be less security north of the George Washington Bridge . I'm taking her down .	into the Hudson ?
I'm going to assume that means that the Secret Service is out of commission . Jean , can you raise me up there ?	it's too far .
I'm sorry . I'm not strong enough .	can the Professor repair his own mind ?
correct ... Apparently , Adamantium is the only metal strong enough to hold the energy this machine produces . he used the Adamantium in Logan's dog tag to test it on the Senator . and I assume now he plans to use the rest of Logan's skeleton for a larger demonstration .	for what purpose ?
yes -- Only there's a problem . the mutator gene is not responding to the radiation the way it would in mother nature . it's forcing the body's cells to replicate thousands of times faster than they're accustomed to . the Senator's body is literally burning itself out . Scott -- this machine kills people and I don't think magneto realizes it .	so where do you think he's planning this larger demonstration ?
what does that mean ?	the neuro-filter acts like a surge Protector , regulating the infinite flow of information from Cerebro to the Professor's mind . it's what keeps him from being crushed by the consciousness of millions .
Thomas Edison knew how to make the light bulb . he had the energy source . he had the vacuum . but he didn't have the filament . he tried metal after metal but nothing would hold to power .	... until he found tungsten .
I wish I could go .	we all do .
storm . try to look for the highest vantage point . from what I can figure , he'll need to gain as much altitude as possible to blanket the island . it is my feeling that magneto has to--	beast .
that's the guy .	this pizda ? never seen him before .
cops . like a plague . no matter how many you pay there's always another with his hand out . how did you pick him out ?	he flashed his badge to half the bar when he bought his drink .
I appreciate you bringing this to our attention . whatever you want , the rest of the night , consider it on the house .	thanks , but I'm here on business . I heard you're the G around here . I'm looking for some cars , expensive ones . a lot of them .
sorry , man , don't know what you're talking about .	I'm talking about the sports cars that disappear off the docks in Genoa and wind up here . if you don't know about' em , who does ?
I remember that one where you jump the motorcycle over the freeway at rush hour .	when else are you gonna do it ?
I'm somewhat less so . we seem to have a bit of a problem ...	I had to inspect the merchandise first .
of course .	what's this ?
what's going on , my friend ?	you tell me ! you got a sniper up there or what ?
he's not with us , Xander . he must be with you .	bullshit ! you get your boy off that roof or I swear to God I'm gonna give you another hole to breathe out of .
total chaos , man ! welcome to anarchy 99 !	"what's "" anarchy 99 "" ?"
it's all this craziness ! it's what we've been living since 99 , when we left the Army . one of our brothers died in Grozny and we said the hell with this shit . what for ? he dies for what ? politics ? who's politics ? not ours .	you wanna see my politics ?
screw the world . if I'm gonna die for something , it better be bitches and money .	that's what I'm talking about , man ! that's why anarchy 99 was born .
""" ... try walking into a deli and urinating on the cheese "" .' anarchy Burger' by the Vandals ."	you got it , man . it's stupid but it's true . true freedom is when you do whatever you want anytime you want . that's when you know you're living , man .
how you gonna do that with government and rules everywhere ?	easy . you get enough money that you grow an ass big enough for the whole world to kiss .
you got a great set-up here Yorgi . you really know how to live .	it's a beautiful town , Prague . it's been good to me .
I've been here before , when I was a kid . my old man was in the service , we used to live on the Army base in Hamburg .	you , an Army brat ? I don't see that one at all . did you join the service as well ?
hell no . my dad was a straight up tin soldier . somehow he pissed this general off and got himself dishonorably discharged . had a court martial and everything . the charges were total bullshit , so he was sure he'd get his name cleared , but it didn't happen .	connections and politics , it's the same everywhere .
I've got meetings this afternoon , I've got to get some sleep . just pick a girl .	that's alright , I'm kinda tired .
